YEAR,category,aktor,film,type
2024,ACTOR IN A LEADING ROLE,Cillian Murphy,"""Oppenheimer""",Winner
2024,ACTOR IN A LEADING ROLE,Bradley Cooper,"""Maestro""",nominees
2024,ACTOR IN A LEADING ROLE,Colman Domingo,"""Rustin""",nominees
2024,ACTOR IN A LEADING ROLE,Paul Giamatti,"""The Holdovers""",nominees
2024,ACTOR IN A LEADING ROLE,Jeffrey Wright,"""American Fiction""",nominees
2024,ACTOR IN A SUPPORTING ROLE,Robert Downey Jr.,"""Oppenheimer""",Winner
2024,ACTOR IN A SUPPORTING ROLE,Sterling K. Brown,"""American Fiction""",nominees
2024,ACTOR IN A SUPPORTING ROLE,Robert De Niro,"""Killers of the Flower Moon""",nominees
2024,ACTOR IN A SUPPORTING ROLE,Ryan Gosling,"""Barbie""",nominees
2024,ACTOR IN A SUPPORTING ROLE,Mark Ruffalo,"""Poor Things""",nominees
2024,ACTRESS IN A LEADING ROLE,Emma Stone,"""Poor Things""",Winner
2024,ACTRESS IN A LEADING ROLE,Annette Bening,"""Nyad""",nominees
2024,ACTRESS IN A LEADING ROLE,Lily Gladstone,"""Killers of the Flower Moon""",nominees
2024,ACTRESS IN A LEADING ROLE,Sandra Hüller,"""Anatomy of a Fall""",nominees
2024,ACTRESS IN A LEADING ROLE,Carey Mulligan,"""Maestro""",nominees
2024,ACTRESS IN A SUPPORTING ROLE,Da'Vine Joy Randolph,"""The Holdovers""",Winner
2024,ACTRESS IN A SUPPORTING ROLE,Emily Blunt,"""Oppenheimer""",nominees
2024,ACTRESS IN A SUPPORTING ROLE,Danielle Brooks,"""The Color Purple""",nominees
2024,ACTRESS IN A SUPPORTING ROLE,America Ferrera,"""Barbie""",nominees
2024,ACTRESS IN A SUPPORTING ROLE,Jodie Foster,"""Nyad""",nominees
2024,ANIMATED FEATURE FILM,Hayao Miyazaki and Toshio Suzuki,"""The Boy and the Heron""",Winner
2024,ANIMATED FEATURE FILM,Peter Sohn and Denise Ream,"""Elemental""",nominees
2024,ANIMATED FEATURE FILM,"Nick Bruno, Troy Quane, Karen Ryan and Julie Zackary","""Nimona""",nominees
2024,ANIMATED FEATURE FILM,"Pablo Berger, Ibon Cormenzana, Ignasi Estapé and Sandra Tapia Díaz","""Robot Dreams""",nominees
2024,ANIMATED FEATURE FILM,"Kemp Powers, Justin K. Thompson, Phil Lord, Christopher Miller and Amy Pascal","""Spider-Man: Across the Spider-Verse""",nominees
2024,CINEMATOGRAPHY,Hoyte van Hoytema,"""Oppenheimer""",Winner
2024,CINEMATOGRAPHY,Edward Lachman,"""El Conde""",nominees
2024,CINEMATOGRAPHY,Rodrigo Prieto,"""Killers of the Flower Moon""",nominees
2024,CINEMATOGRAPHY,Matthew Libatique,"""Maestro""",nominees
2024,CINEMATOGRAPHY,Robbie Ryan,"""Poor Things""",nominees
2024,COSTUME DESIGN,Holly Waddington,"""Poor Things""",Winner
2024,COSTUME DESIGN,Jacqueline Durran,"""Barbie""",nominees
2024,COSTUME DESIGN,Jacqueline West,"""Killers of the Flower Moon""",nominees
2024,COSTUME DESIGN,Janty Yates and Dave Crossman,"""Napoleon""",nominees
2024,COSTUME DESIGN,Ellen Mirojnick,"""Oppenheimer""",nominees
2024,DIRECTING,Christopher Nolan,"""Oppenheimer""",Winner
2024,DIRECTING,Justine Triet,"""Anatomy of a Fall""",nominees
2024,DIRECTING,Martin Scorsese,"""Killers of the Flower Moon""",nominees
2024,DIRECTING,Yorgos Lanthimos,"""Poor Things""",nominees
2024,DIRECTING,Jonathan Glazer,"""The Zone of Interest""",nominees
2024,DOCUMENTARY FEATURE FILM,"Mstyslav Chernov, Michelle Mizner and Raney Aronson-Rath","""20 Days in Mariupol""",Winner
2024,DOCUMENTARY FEATURE FILM,"Moses Bwayo, Christopher Sharp and John Battsek","""Bobi Wine: The People's President""",nominees
2024,DOCUMENTARY FEATURE FILM,Maite Alberdi,"""The Eternal Memory""",nominees
2024,DOCUMENTARY FEATURE FILM,Kaouther Ben Hania and Nadim Cheikhrouha,"""Four Daughters""",nominees
2024,DOCUMENTARY FEATURE FILM,"Nisha Pahuja, Cornelia Principe and David Oppenheim","""To Kill a Tiger""",nominees
2024,DOCUMENTARY SHORT FILM,Ben Proudfoot and Kris Bowers,"""The Last Repair Shop""",Winner
2024,DOCUMENTARY SHORT FILM,Sheila Nevins and Trish Adlesic,"""The ABCs of Book Banning""",nominees
2024,DOCUMENTARY SHORT FILM,John Hoffman and Christine Turner,"""The Barber of Little Rock""",nominees
2024,DOCUMENTARY SHORT FILM,S. Leo Chiang and Jean Tsien,"""Island in Between""",nominees
2024,DOCUMENTARY SHORT FILM,Sean Wang and Sam Davis,"""Nai Nai & Wài Pó""",nominees
2024,FILM EDITING,Jennifer Lame,"""Oppenheimer""",Winner
2024,FILM EDITING,Laurent Sénéchal,"""Anatomy of a Fall""",nominees
2024,FILM EDITING,Kevin Tent,"""The Holdovers""",nominees
2024,FILM EDITING,Thelma Schoonmaker,"""Killers of the Flower Moon""",nominees
